IM,DCR,P,Upper,Lower
1.4100000000000001,0.983006161229823,0.4759079189737138,0.8262817755766946,0.14447527287315848
1.42,0.9897931951239505,0.4855738154776096,0.8324346774571809,0.1500616609950366
1.43,0.996578967618223,0.49518028855771024,0.8384037132242258,0.1557495390246283
1.44,1.0033634877657478,0.5047225965669172,0.8441922580994612,0.1615366749271266
1.45,1.010146764492244,0.5141962062435257,0.8498037663372207,0.1674207378531623
1.46,1.0169288065987014,0.5235967933519812,0.8552417590627601,0.17339930336904713
1.47,1.023709622763965,0.5329202427573154,0.8605098127818078,0.17946985877002308
1.48,1.03048922154725,0.5421626479659926,0.8656115485494058,0.18562980845829763
1.49,1.0372676113905885,0.551320310165789,0.8705506217841135,0.19187647936822882
1.5,1.044044800621208,0.5603897367971007,0.8753307127120339,0.19820712642165583
1.51,1.0508207974538488,0.5693676396876977,0.8799555174237532,0.20461893799704695
1.52,1.0575956099930184,0.5782509327824459,0.8844287395261304,0.21110904139682474
1.53,1.0643692462351855,0.5870367294989169,0.8887540823699446,0.2176745082979612
1.54,1.0711417140709167,0.5957223397391102,0.8929352418336616,0.22431236017167455
1.55,1.0779130212869594,0.6043052665867339,0.8969758996430068,0.23101957365882647
1.56,1.0846831755682664,0.6127832027186322,0.9008797172056218,0.2377930858883756
1.57,1.0914521844999718,0.6211540265580467,0.9046503299398206,0.2446297997270384
1.58,1.098220055569315,0.6294157981964308,0.9082913420763167,0.25152658894907143
1.59,1.1049867961675153,0.637566755109531,0.9118063219117765,0.25848030331587857
1.6,1.1117524135916006,0.64560530769242,0.9151987974931413,0.26548777355591235
1.61,1.1185169150461869,0.6535300346370988,0.918472252711829,0.27254581623611057
1.62,1.125280307645217,0.6613396781752177,0.9216301237871976,0.27965123851686163
1.6300000000000001,1.1320425984136542,0.6690331392073658,0.9246757961189668,0.2868008427832337
1.6400000000000001,1.138803794289133,0.6766094723392961,0.9276126014886997,0.29399143114592624
1.6500000000000001,1.1455639021235717,0.6840678808443651,0.9304438155908832,0.3012198098061205
1.6600000000000001,1.1523229286847447,0.6914077115703733,0.9331726558746353,0.30848279327908124
1.6700000000000002,1.1590808806578152,0.6986284498079276,0.9358022796776002,0.31577720847203894
1.68,1.1658377646468334,0.7057297141363921,0.9383357826341435,0.3230998986125251
1.69,1.1725935871761972,0.7127112512624463,0.9407761973405462,0.3304477270239514
1.7,1.1793483546920782,0.719572930865266,0.9431264922604974,0.33781758074582374
1.71,1.1861020735638146,0.726314740461341,0.9453895708547992,0.3452063739965521
1.72,1.192854750085271,0.7329367803009865,0.9475682709198255,0.3526110514773627
1.73,1.1996063904761662,0.7394392583076655,0.9496653641199007,0.3600285915163356
1.74,1.20635700088337,0.7458224850703403,0.9516835556994022,0.367456009052087
1.75,1.21310658738217,0.7520868688981939,0.953625484361016,0.3748903584570747
1.76,1.2198551559775108,0.758232910946228,0.9554937222972016,0.38232873620095087
1.77,1.2266027126052017,0.764261200419436,0.957290775362537,0.38976828335478575
1.78,1.2333492631330998,0.7701724098624794,0.9590190833752306,0.3972061879373851
1.79,1.2400948133622651,0.7759672905410624,0.960681020536673,0.40463968710526943
1.8,1.24683936902809,0.7816466679204954,0.9622788959584986,0.4120660691882222
1.81,1.2535829358014023,0.7872114372462744,0.9638149542871833,0.4194826755726204
1.82,1.2603255192895464,0.7926625592308685,0.9652913764167722,0.4268869024350405
1.83,1.2670671250374372,0.7980010558503168,0.9667102802808589,0.4342762023288942
1.84,1.2738077585285936,0.8032280062536623,0.9680737217154661,0.4416480856270788
1.85,1.2805474251861477,0.8083445427877314,0.9693836953849756,0.44900012182384236
1.86,1.287286130373833,0.8133518471392587,0.9706421357637444,0.45632994069925076
1.87,1.2940238793969505,0.8182511465958995,0.9718509181665089,0.46363523334981305
1.8800000000000001,1.3007606775033143,0.8230437104272285,0.973011859821127,0.4709137530889687
1.8900000000000001,1.3074965298841779,0.8277308463864257,0.9741267209776385,0.4781633162212731
1.9000000000000001,1.3142314416751375,0.8323138973329638,0.975197206048035,0.4853818026942143
1.9100000000000001,1.3209654179570218,0.8367942379762758,0.9762249647715228,0.49256715663170975
1.9200000000000002,1.3276984637567568,0.8411732717400409,0.9772115934004376,0.4997173867533757
1.93,1.334430584048217,0.8454524277464505,0.9781586359023251,0.5068305666837501
1.94,1.3411617837530567,0.8496331579195293,0.9790675851740415,0.5139048351556749
1.95,1.3478920677415251,0.853716934206346,0.9799398842640497,0.5209383961120764
1.96,1.354621440833263,0.8577052459147188,0.9807769275993922,0.5279295187104067
1.97,1.3613499077980857,0.8615995971658243,0.981580062214109,0.5348765372340014
1.98,1.368077473356747,0.8654015044599228,0.9823505889761432,0.541777850914606
1.99,1.3748041421816894,0.8691124943532607,0.9830897638100344,0.5486319236703032
2.0,1.3815299188977799,0.8727341012440595,0.9837987989129406,0.5554372837630449
2.01,1.3882548080830284,0.876267865265372,0.9844788639617617,0.5621925233799481
2.02,1.394978814269294,0.8797153302824778,0.9851310873093474,0.5688962981424732
2.03,1.4017019419429757,0.8830780419923885,0.9857565571679792,0.5755473265475419
2.04,1.4084241955456918,0.8863575461229569,0.9863563227784988,0.5821443893445952
2.05,1.415145579474941,0.8895553867290105,0.9869313955636378,0.5886863288525088
2.0599999999999996,1.4218660980847573,0.8926731045828775,0.9874827502642652,0.5951720482202308
2.07,1.4285857556863473,0.895712235656625,0.9880113260574225,0.6016005106348998
2.0799999999999996,1.435304556548714,0.8986743096932993,0.9885180276551637,0.6079707384811315
2.09,1.442022504899274,0.901560848864435,0.9890037263833469,0.6142818124550752
2.0999999999999996,1.4487396049244587,0.9043733665110816,0.9894692612396487,0.6205328706367323
2.11,1.4554558607703039,0.9071133659655972,0.9899154399301907,0.6267231075239479
2.1199999999999997,1.4621712765430301,0.909782339451455,0.9903430398842689,0.632851773031379
2.13,1.4688858563096108,0.9123817670583241,0.9907528092467783,0.6389181714576445
